SampleSet,AIN0,AIN1,AIN2,AIN3
362,1466,6423878,2647441,1767749
363,1462,6453846,2727258,1730756
364,1440,6439070,2749888,1744239
365,1439,6427699,2693786,1770390
366,1458,6450829,2708714,1774857
367,1471,6431063,2171032,1769641
368,1461,6486485,2291661,1777559
369,1461,6453052,2331667,1784844
370,1463,6443856,2320369,1794915
371,1448,6358201,2424508,1793527
372,1453,6433767,2393646,1789431
373,1485,6360976,2487806,1790839
374,1454,6414806,2533580,1795481
375,1467,6420652,2495771,1803563
376,1450,6444968,2519594,1797446
377,1510,6429282,2605794,1805403
378,1413,6483417,2564268,1809508
379,1459,6442788,2585333,1886596
380,1452,6428725,2664452,1889546
381,1423,6484881,2662007,1867172
382,1462,6428173,2669912,1856196
383,1511,6481613,2622868,1862345
384,1426,6422742,2646315,1870774
385,1443,6427133,2731518,1584551
386,1463,6440517,2742326,1614560
387,1424,6428306,2701652,1640093
388,1429,6485495,2707356,1665718
389,1464,6440317,2792762,1718846
390,1450,6424846,2809881,1831089
391,1443,6444425,2764086,1822111
392,1487,6437801,2178228,1826253
393,1467,6445983,2285823,1829385
394,1489,6427512,2267763,1829168
395,1428,6436730,2312945,1832294
396,1469,6430820,2417440,1775531
397,1447,6430122,2400346,1783953
398,1461,6369877,2441538,1782720
399,1490,6434269,2537012,1784151
400,1427,6446627,2501304,1276483
401,1432,6422941,2604315,1357572
402,1425,6426373,2561918,1415139
403,1440,6433255,2582189,1470879
404,1465,6446210,2623261,1530613
405,1468,6440553,2648607,1574889
406,1437,6452244,2748691,1616553
407,1463,6437863,2706489,1653375
408,1456,6434515,2793470,1680319
409,1444,6429815,2812117,1705347
410,1507,6440321,2762610,1731838
411,1439,6446618,2785930,1736299
412,1459,6466511,2244814,1745525
413,1478,6464247,2356117,1721504
414,1427,6449436,2312786,1415391
415,1484,6451448,2406240,1456390
416,1454,6454784,2364805,1492759
417,1499,6462166,2395369,1523088
418,1495,6460328,2489009,1624363
419,1446,6442626,2478341,1579255
420,1473,6428992,2489702,1600418
421,1466,6363477,2440467,1600820
422,1449,6445709,2386586,1696219
423,1434,6447847,2370076,1058170
424,1464,6465971,2378223,1147794
425,1487,6441660,2364651,1211508
426,1452,6424359,2372241,1279459
427,1474,6380283,2395388,1342256
428,1498,6420208,2425099,1399932
429,1447,6455217,2458228,1454521
430,1437,6457910,2493141,1567289
431,1397,6449298,2528809,1548409
432,1404,6447272,2563380,1590335
433,1437,6455084,2665532,1692757
434,1410,6452523,2632533,1660147
435,1456,6447246,2657626,1757874
436,1428,6432439,2690293,1726537
437,1446,6445512,2721176,1820331
438,1467,6434122,2802907,1780190
439,1448,6424014,2761924,1797279
440,1463,6446798,2787058,1891030
441,1468,6434247,2877082,1835694
442,1430,6424456,2828347,1846271
443,1429,6534145,2836991,1858106
444,1450,6460430,2850698,1870780
445,1455,6461912,2934598,1950176
446,1440,6452208,2948232,1965792
447,1450,6454976,2895706,1911879
448,1451,6458908,2910135,1924778
449,1446,6459628,2989095,1932709
450,1434,6453052,2998855,1941294
451,1438,6447171,3005293,1947296
452,1472,6443655,3011624,2019186
453,1428,6451292,2953793,2025942
454,1467,6443560,2966001,1969942
455,1446,6445838,2973621,1975957
456,1455,6441212,2981096,1982234
457,1465,6444975,3056101,1995718
458,1444,6432314,3063308,2000149
459,1460,6443532,3068296,2002934
460,1413,6430541,3070896,2004557
461,1478,6437025,3019351,2007345
462,1450,6434752,3031882,2081746
463,1479,6435316,3044493,2091143
464,1425,6434052,3122316,2034049
465,1466,6433541,3135540,2043555
466,1424,6430648,3083328,2052247
467,1445,6436679,3093909,2058469
468,1428,6436906,3101812,2062603
469,1476,6434950,3109105,2067179
470,1464,6428243,3182129,2072571
471,1456,6427659,3188992,2076773
472,1436,6431652,3196558,2147432
473,1442,6435149,3204078,2152436
474,1444,6431570,3148134,2158932
475,1465,6426388,3157712,2098629
476,1469,6427359,3164435,2103092
477,1423,6424634,3166130,2105052
478,1445,6425957,3169846,2107210
479,1487,6427633,3173949,2109652
480,1489,6424048,3177741,2112119
481,1454,6428879,3248240,2114133
482,1480,6432804,3252870,2117848
483,1481,6426471,3257463,2121131
484,1470,6430600,3261661,2123594
485,1479,6486233,3263630,2124501
486,1471,6425469,3265891,2125488
487,1434,6428713,3268745,2127401
488,1472,6425546,3270262,2128601
489,1431,6429033,3273102,2130229
490,1464,6428158,3275063,2131427
491,1467,6487737,3213489,2133928
492,1463,6427891,3216746,2135974
493,1461,6422813,3217702,2136751
494,1414,6426572,3217903,2136613
495,1435,6417503,3217500,2137285
496,1465,6423781,3219155,2140054
497,1493,6425840,3218474,2139962
498,1439,6378515,3221774,2139816
499,1459,6442070,3263359,2124210
500,1474,6454960,3257472,2117751
501,1448,6435090,3260934,2119286
502,1434,6429854,3263587,2121572
503,1421,6432297,3265859,2122267
504,1458,6433024,3266031,2124361
505,1450,6426630,3268973,2126440
506,1405,6433481,3272260,2128368
507,1466,6425146,3275143,2130537
508,1442,6431508,3212944,2133389
509,1425,6487612,3214966,2128645
510,1473,6423541,3215801,2129640
511,1475,6430503,3216913,2130557
512,1428,6430354,3217864,2132290
513,1508,6423194,3274576,2127500
514,1455,6427440,3265795,2122034
515,1474,6487248,3257765,2117771
516,1476,6431380,3250127,2113344
517,1443,6429436,3179532,2107016
518,1473,6436158,3253940,2102285
519,1451,6429104,3247589,2099048
520,1449,6424201,3173651,2156980
521,1432,6426042,3165625,2153853
522,1443,6426734,3158528,2151120
523,1467,6427193,3152955,2149199
524,1422,6425162,3147340,2147137
525,1461,6420354,3207872,2145575
526,1454,6426321,3204093,2144322
527,1441,6424802,3199634,2076772
528,1436,6423470,3194718,2074452
529,1452,6424217,3189473,2072272
530,1452,6470049,3185135,2070453
531,1453,6428712,3191514,2075721
532,1437,6428894,3197410,2146363
533,1443,6428294,3203926,2151471
534,1453,6433495,3210328,2157212
535,1454,6485911,3148372,2161952
536,1469,6428581,3155033,2099890
537,1433,6429640,3160186,2103066
538,1480,6422943,3165178,2106000
539,1432,6440392,3165287,2100419
540,1442,6487964,3156284,2162560
541,1409,6429512,3150584,2159212
542,1462,6426604,3156362,2098661
543,1439,6428251,3162326,2103557
544,1452,6423326,3164837,2107178
545,1450,6423440,3169057,2109535
546,1450,6424817,3173702,2111804
547,1448,6425519,3178485,2114537
548,1456,6429321,3247949,2117148
549,1450,6424724,3252256,2119792
550,1445,6429763,3180272,2115513
551,1500,6430530,3169815,2108774
552,1458,6427654,3165272,2105126
553,1470,6427304,3159013,2101574
554,1453,6422967,3152000,2103969
555,1452,6422695,3156245,2106214
556,1492,6425609,3158115,2106641
557,1465,6430917,3163816,2109376
558,1452,6425791,3169654,2112300
559,1445,6485997,3174685,2115408
560,1465,6421996,3247330,2119114
561,1439,6423693,3251991,2121941
562,1481,6423066,3255322,2117068
563,1457,6423306,3247185,2112183
564,1438,6427244,3098482,2111542
565,1489,6463678,3123213,2080248
566,1487,6448889,3118381,2084197
567,1425,6435924,3142618,2010991
568,1487,6358525,2879121,1996212
569,1502,6448132,2819645,1975400
570,1449,6372284,2818454,2020001
571,1426,6447925,2653433,2022081
572,1426,6431312,2688986,2030478
573,1469,6433725,2721871,1973869
574,1442,6436929,2756754,1982405
575,1426,6430711,2787328,1989734
576,1457,6426693,2878542,1993906
577,1434,6436428,2840275,2001504
578,1431,6431862,2931973,2009159
579,1465,6434079,2890213,2081638
580,1441,6435087,2903679,2082359
581,1459,6421406,2910157,2079163
582,1448,6438376,2987785,2080710
583,1441,6425147,2998245,2082298
584,1455,6434758,3007190,2082909
585,1446,6430858,2958842,2090239
586,1471,6424983,2973034,2094373
587,1447,6432688,3055232,2035490
588,1433,6427837,3071673,2041543
589,1476,6425415,3020509,2047467
590,1450,6429376,3035203,2055855
591,1439,6421176,3044946,2059135
592,1479,6486801,3123727,2064674
593,1440,6428438,3135274,2069254
594,1456,6432078,3145683,2073907
595,1489,6430780,3090516,2144107
596,1458,6424911,3100172,2148263
597,1408,6424707,3109291,2152723
598,1443,6428460,3183913,2156554
599,1450,6426396,3183040,2154093
600,1422,6423759,3110549,2148054
601,1469,6485780,3108505,2145280
602,1518,6425892,3105743,2142706
603,1450,6431403,3102591,2074655
604,1457,6426201,3109937,2144993
605,1450,6427502,3181845,2149905
606,1476,6427329,3186597,2154515
607,1476,6426299,3195204,2158967
608,1488,6423153,3204321,2098346
609,1449,6422772,3146547,2102126
610,1491,6430512,3152737,2104934
611,1486,6485262,3157169,2106820
612,1474,6423409,3162005,2102721
613,1474,6429581,3156405,2098648
614,1418,6424867,3151492,2161418
615,1443,6430261,3146810,2154946
616,1469,6426764,3208283,2152896
617,1429,6430607,3205050,2151264
618,1477,6429162,3200576,2149238
619,1468,6428915,3195050,2145994
620,1446,6425950,3190045,2143573
621,1448,6420005,3185816,2075806
622,1441,6486557,3192106,2146266
623,1477,6429065,3197809,2075923
624,1480,6422509,3111053,2148611
625,1472,6486047,3110456,2147362
626,1461,6422775,3103996,2076230
627,1432,6429105,3101998,2074024
628,1445,6427643,3098830,2071265
629,1445,6430165,3096679,2069414
630,1436,6428705,3094234,2074295
631,1491,6427185,3102819,2076528
632,1498,6428053,3113081,2147316
633,1453,6425362,3188293,2153094
634,1420,6429094,3198546,2158849
635,1488,6426650,3196151,2156152
636,1436,6425264,3187129,2149103
637,1431,6426595,3182603,2145823
638,1441,6427370,3113805,2143076
639,1454,6487895,3108326,2073487
640,1480,6360721,3104806,2071791
641,1478,6424700,3103195,2070624
642,1458,6425127,3102657,2076944
643,1452,6425723,3111911,2147509
644,1461,6426200,3182644,2149531
645,1438,6422616,3190427,2153650
646,1457,6431155,3197429,2156918
647,1450,6425342,3205092,2160788
648,1442,6427632,3146577,2099045
649,1421,6426425,3208709,2161699
650,1438,6422604,3205083,2154721
651,1468,6426274,3202294,2152732
652,1438,6426740,3199035,2150798
653,1477,6427008,3195011,2148593
654,1421,6423731,3200381,2152864
655,1480,6422471,3202898,2154766
656,1507,6428762,3210452,2159162
657,1423,6424612,3151736,2098085
658,1440,6484496,3157917,2102206
659,1464,6428007,3154353,2099635
660,1458,6485132,3210758,2162493
661,1476,6425412,3206448,2159148
662,1463,6429915,3202032,2155702
663,1462,6487474,3206998,2159653
664,1444,6423650,3210091,2160883
665,1444,6438142,3205517,2158145
666,1447,6425593,3200830,2161840
667,1448,6432191,3206839,2100479
668,1415,6429707,3211157,2102311
669,1484,6487612,3154030,2106557
670,1437,6358907,3160682,2109992
671,1436,6487717,3165176,2105067
672,1465,6422701,3153316,2097303
673,1484,6423817,3147330,2159395
674,1440,6485543,3207464,2156345
675,1463,6424812,3202807,2153266
676,1473,6429483,3209127,2158477
677,1463,6431470,3150485,2161297
678,1435,6427674,3158182,2100464
679,1428,6431198,3164551,2104028
680,1460,6486080,3169197,2107191
681,1474,6436874,3173901,2110130
682,1443,6429256,3167720,2106254
683,1443,6427545,3156261,2098885
684,1466,6428063,3151354,2161462
685,1421,6426458,3147221,2159263
686,1460,6426943,3154042,2099075
687,1452,6427251,3158258,2102726
688,1453,6423705,3159867,2102557
689,1445,6445824,3184524,2153414
690,1463,6454846,3117442,2151279
691,1476,6432715,3042120,2154150
692,1428,6456897,3038412,2062914
693,1432,6433255,3035103,2054180
694,1485,6456364,3041007,2019652
695,1461,6456354,3041649,1990808
696,1466,6442210,3040715,1994125
697,1462,6439008,3118401,2001865
698,1493,6433094,3116907,2011557
699,1474,6436805,3123406,2090132
700,1453,6432372,3120926,2091356
701,1457,6441922,3136357,2038597
702,1490,6434215,3144565,2043610
703,1458,6426332,3140251,2041316
704,1443,6430713,3086314,2046280
705,1467,6434656,3095192,2055331
706,1453,6427238,3088994,2052167
707,1429,6432056,3100983,2060750
